Date : 2025-09-21 10:01:01
Directory : /home/zougmore/annuaire5
Total : 292 files,  34623 codes, 3016 comments, 3406 blanks, all 41045 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/zougmore/annuaire5/database/seeders/ParametreSeeder.php                                                         | PHP        |         33 |          4 |          5 |         42 |
| /home/zougmore/annuaire5/database/seeders/RoleSeeder.php                                                              | PHP        |         14 |          0 |          5 |         19 |
| /home/zougmore/annuaire5/database/seeders/SettingsSeeder.php                                                          | PHP        |         10 |          4 |          4 |         18 |
| /home/zougmore/annuaire5/database/seeders/TypesCongesSeeder.php                                                       | PHP        |         16 |          3 |          5 |         24 |
| /home/zougmore/annuaire5/package-lock.json                                                                            | JSON       |      4,398 |          0 |          1 |      4,399 |
| /home/zougmore/annuaire5/package.json                                                                                 | JSON       |         24 |          0 |          1 |         25 |
| /home/zougmore/annuaire5/phpunit.xml                                                                                  | XML        |         34 |          0 |          1 |         35 |
| /home/zougmore/annuaire5/postcss.config.js                                                                            | JavaScript |          6 |          0 |          1 |          7 |
| /home/zougmore/annuaire5/public/css/app.css                                                                           | PostCSS    |        820 |         36 |        141 |        997 |
| /home/zougmore/annuaire5/public/index.php                                                                             | PHP        |         10 |          4 |          7 |         21 |
| /home/zougmore/annuaire5/resources/css/app.css                                                                        | PostCSS    |          3 |          0 |          2 |          5 |
| /home/zougmore/annuaire5/resources/js/app.js                                                                          | JavaScript |          4 |          0 |          4 |          8 |
| /home/zougmore/annuaire5/resources/js/bootstrap.js                                                                    | JavaScript |          4 |         23 |          8 |         35 |
| /home/zougmore/annuaire5/resources/sass/_variables.scss                                                               | SCSS       |          4 |          2 |          2 |          8 |
| /home/zougmore/annuaire5/resources/sass/app.scss                                                                      | SCSS       |          3 |          3 |          3 |          9 |
| /home/zougmore/annuaire5/resources/views/admin/dashboard.blade.php                                                    | PHP        |         62 |          0 |          9 |         71 |
| /home/zougmore/annuaire5/resources/views/admin/parametres/create.blade.php                                            | PHP        |        130 |          0 |         10 |        140 |
| /home/zougmore/annuaire5/resources/views/admin/parametres/edit.blade.php                                              | PHP        |         30 |          0 |          6 |         36 |
| /home/zougmore/annuaire5/resources/views/admin/parametres/index.blade.php                                             | PHP        |         82 |          0 |          4 |         86 |
| /home/zougmore/annuaire5/resources/views/admin/planning.blade.php                                                     | PHP        |         45 |          0 |          4 |         49 |
| /home/zougmore/annuaire5/resources/views/admin/settings/index.php                                                     | PHP        |        372 |          1 |         18 |        391 |
| /home/zougmore/annuaire5/resources/views/admin/settings/modals/add-leave-type.blade.php                               | PHP        |        413 |          0 |         19 |        432 |
| /home/zougmore/annuaire5/resources/views/admin/settings/user-quotas.blade.php                                         | PHP        |        337 |         10 |         24 |        371 |
| /home/zougmore/annuaire5/resources/views/admin/statistiques.blade.php                                                 | PHP        |         24 |          0 |          3 |         27 |
| /home/zougmore/annuaire5/resources/views/admin/utilisateurs/create.blade.php                                          | PHP        |        194 |          0 |         23 |        217 |
| /home/zougmore/annuaire5/resources/views/admin/utilisateurs/edit.blade.php                                            | PHP        |        192 |          0 |         20 |        212 |
| /home/zougmore/annuaire5/resources/views/admin/utilisateurs/index.blade.php                                           | PHP        |        164 |          0 |         11 |        175 |
| /home/zougmore/annuaire5/resources/views/agent/dashboard.blade.php                                                    | PHP        |        117 |          5 |         20 |        142 |
| /home/zougmore/annuaire5/resources/views/agent/demande/create.blade.php                                               | PHP        |        220 |          3 |         24 |        247 |
| /home/zougmore/annuaire5/resources/views/agent/demande/index.blade.php                                                | PHP        |        172 |          0 |          7 |        179 |
| /home/zougmore/annuaire5/resources/views/agent/mes-demandes.blade.php                                                 | PHP        |         65 |          0 |          4 |         69 |
| /home/zougmore/annuaire5/resources/views/auth/confirm-password.blade.php                                              | PHP        |         22 |          0 |          6 |         28 |
| /home/zougmore/annuaire5/resources/views/auth/forgot-password.blade.php                                               | PHP        |         35 |          0 |          7 |         42 |
| /home/zougmore/annuaire5/resources/views/auth/login.blade.php                                                         | PHP        |        175 |          2 |         18 |        195 |
| /home/zougmore/annuaire5/resources/views/auth/passwords/confirm.blade.php                                             | PHP        |         41 |          0 |          9 |         50 |
| /home/zougmore/annuaire5/resources/views/auth/passwords/email.blade.php                                               | PHP        |         40 |          0 |          8 |         48 |
| /home/zougmore/annuaire5/resources/views/auth/passwords/reset.blade.php                                               | PHP        |         53 |          0 |         13 |         66 |
| /home/zougmore/annuaire5/resources/views/auth/register.blade.php                                                      | PHP        |        272 |          0 |         23 |        295 |
| /home/zougmore/annuaire5/resources/views/auth/reset-password.blade.php                                                | PHP        |        246 |          1 |         19 |        266 |
| /home/zougmore/annuaire5/resources/views/auth/verify-email.blade.php                                                  | PHP        |         26 |          0 |          6 |         32 |
| /home/zougmore/annuaire5/resources/views/auth/verify.blade.php                                                        | PHP        |         25 |          0 |          4 |         29 |
| /home/zougmore/annuaire5/resources/views/components/application-logo.blade.php                                        | PHP        |          3 |          0 |          1 |          4 |
| /home/zougmore/annuaire5/resources/views/components/auth-session-status.blade.php                                     | PHP        |          6 |          0 |          2 |          8 |
| /home/zougmore/annuaire5/resources/views/components/danger-button.blade.php                                           | PHP        |          3 |          0 |          1 |          4 |
| /home/zougmore/annuaire5/resources/views/components/dropdown-link.blade.php                                           | PHP        |          1 |          0 |          1 |          2 |
| /home/zougmore/annuaire5/resources/views/components/dropdown.blade.php                                                | PHP        |         31 |          0 |          5 |         36 |
| /home/zougmore/annuaire5/resources/views/components/input-error.blade.php                                             | PHP        |          8 |          0 |          2 |         10 |
| /home/zougmore/annuaire5/resources/views/components/input-label.blade.php                                             | PHP        |          4 |          0 |          2 |          6 |
| /home/zougmore/annuaire5/resources/views/components/modal.blade.php                                                   | PHP        |         73 |          2 |          4 |         79 |
| /home/zougmore/annuaire5/resources/views/components/nav-link.blade.php                                                | PHP        |          9 |          0 |          3 |         12 |
| /home/zougmore/annuaire5/resources/views/components/primary-button.blade.php                                          | PHP        |          3 |          0 |          1 |          4 |
| /home/zougmore/annuaire5/resources/views/components/responsive-nav-link.blade.php                                     | PHP        |          9 |          0 |          3 |         12 |
| /home/zougmore/annuaire5/resources/views/components/secondary-button.blade.php                                        | PHP        |          3 |          0 |          1 |          4 |
| /home/zougmore/annuaire5/resources/views/components/text-input.blade.php                                              | PHP        |          2 |          0 |          2 |          4 |
| /home/zougmore/annuaire5/resources/views/dashboard.blade.php                                                          | PHP        |         16 |          0 |          2 |         18 |
| /home/zougmore/annuaire5/resources/views/dashboards/drh.blade.php                                                     | PHP        |          7 |          0 |          2 |          9 |
| /home/zougmore/annuaire5/resources/views/dashboards/president.blade.php                                               | PHP        |          7 |          0 |          2 |          9 |
| /home/zougmore/annuaire5/resources/views/dashboards/responsable.blade.php                                             | PHP        |          7 |          0 |          2 |          9 |
| /home/zougmore/annuaire5/resources/views/dashboards/sg.blade.php                                                      | PHP        |          7 |          0 |          2 |          9 |
| /home/zougmore/annuaire5/resources/views/demandes/create.blade.php                                                    | PHP        |        184 |          7 |         33 |        224 |
| /home/zougmore/annuaire5/resources/views/demandes/edit.blade.php                                                      | PHP        |        179 |          6 |         20 |        205 |
| /home/zougmore/annuaire5/resources/views/demandes/index.blade.php                                                     | PHP        |        134 |          0 |          9 |        143 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/actions.blade.php                                          | PHP        |        118 |          0 |          9 |        127 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/basic-info.blade.php                                       | PHP        |         56 |          0 |          5 |         61 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/content.blade.php                                          | PHP        |         72 |          0 |          4 |         76 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/header.blade.php                                           | PHP        |         55 |          0 |          1 |         56 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/main-info.blade.php                                        | PHP        |         45 |          0 |          3 |         48 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/period-info.blade.php                                      | PHP        |         81 |          0 |          7 |         88 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/status-badge.blade.php                                     | PHP        |         34 |          1 |          1 |         36 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/status-icon.blade.php                                      | PHP        |         33 |          0 |          1 |         34 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/timeline.blade.php                                         | PHP        |        182 |          0 |         11 |        193 |
| /home/zougmore/annuaire5/resources/views/demandes/partials/toutes-demandes.blade.php                                  | PHP        |         43 |          0 |          3 |         46 |
| /home/zougmore/annuaire5/resources/views/demandes/show.blade.php                                                      | PHP        |        108 |          0 |         10 |        118 |
| /home/zougmore/annuaire5/resources/views/drh/dashboard.blade.php                                                      | PHP        |        487 |          6 |         43 |        536 |
| /home/zougmore/annuaire5/resources/views/drh/demande-show.blade.php                                                   | PHP        |        349 |          0 |         20 |        369 |
| /home/zougmore/annuaire5/resources/views/drh/mes-demandes.blade.php                                                   | PHP        |         80 |          0 |          2 |         82 |
| /home/zougmore/annuaire5/resources/views/drh/rapports/create.blade.php                                                | PHP        |        382 |         10 |         57 |        449 |
| /home/zougmore/annuaire5/resources/views/drh/rapports/index.blade.php                                                 | PHP        |        396 |          9 |         59 |        464 |
| /home/zougmore/annuaire5/resources/views/drh/rapports/pdf.blade.php                                                   | PHP        |        124 |          0 |          5 |        129 |
| /home/zougmore/annuaire5/resources/views/drh/rapports/show.blade.php                                                  | PHP        |        391 |         11 |         57 |        459 |
| /home/zougmore/annuaire5/resources/views/drh/toutes-demandes.blade.php                                                | PHP        |         93 |          0 |          2 |         95 |
| /home/zougmore/annuaire5/resources/views/home.blade.php                                                               | PHP        |         20 |          0 |          4 |         24 |
| /home/zougmore/annuaire5/resources/views/layouts/admin.blade.php                                                      | PHP        |         27 |          0 |          5 |         32 |
| /home/zougmore/annuaire5/resources/views/layouts/app.blade.php                                                        | PHP        |         76 |          1 |         20 |         97 |
| /home/zougmore/annuaire5/resources/views/layouts/footer.blade.php                                                     | PHP        |        151 |          1 |         10 |        162 |
| /home/zougmore/annuaire5/resources/views/layouts/guest.blade.php                                                      | PHP        |         31 |          0 |          7 |         38 |
| /home/zougmore/annuaire5/resources/views/layouts/header.blade.php                                                     | PHP        |        193 |          3 |         19 |        215 |
| /home/zougmore/annuaire5/resources/views/layouts/navigation.blade.php                                                 | PHP        |         75 |          0 |         11 |         86 |
| /home/zougmore/annuaire5/resources/views/notifications/index.blade.php                                                | PHP        |         20 |          0 |          3 |         23 |
| /home/zougmore/annuaire5/resources/views/president/dashboard.blade.php                                                | PHP        |        393 |          6 |         28 |        427 |
| /home/zougmore/annuaire5/resources/views/president/demandes-show.blade.php                                            | PHP        |        265 |          1 |         19 |        285 |
| /home/zougmore/annuaire5/resources/views/profile/edit.blade.php                                                       | PHP        |        212 |          0 |         23 |        235 |
| /home/zougmore/annuaire5/resources/views/profile/partials/delete-user-form.blade.php                                  | PHP        |         45 |          0 |         11 |         56 |
| /home/zougmore/annuaire5/resources/views/profile/partials/update-password-form.blade.php                              | PHP        |         41 |          0 |          8 |         49 |
| /home/zougmore/annuaire5/resources/views/profile/partials/update-profile-information-form.blade.php                   | PHP        |         54 |          0 |         11 |         65 |
| /home/zougmore/annuaire5/resources/views/profile/show.blade.php                                                       | PHP        |        143 |          0 |         12 |        155 |
| /home/zougmore/annuaire5/resources/views/responsable/dashboard.blade.php                                              | PHP        |        435 |          7 |         36 |        478 |
| /home/zougmore/annuaire5/resources/views/responsable/mes-demandes.blade.php                                           | PHP        |        192 |          0 |          8 |        200 |
| /home/zougmore/annuaire5/resources/views/sg/dashboard.blade.php                                                       | PHP        |        393 |          6 |         28 |        427 |
| /home/zougmore/annuaire5/resources/views/sg/demandes-show.blade.php                                                   | PHP        |        265 |          1 |         19 |        285 |
| /home/zougmore/annuaire5/resources/views/users/create.blade.php                                                       | PHP        |         29 |          0 |         12 |         41 |
| /home/zougmore/annuaire5/resources/views/users/edit.blade.php                                                         | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/resources/views/users/index.php                                                              | PHP        |         35 |          0 |          5 |         40 |
| /home/zougmore/annuaire5/resources/views/users/show.blade.php                                                         | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/resources/views/welcome.blade.php                                                            | PHP        |        102 |          0 |         14 |        116 |
| /home/zougmore/annuaire5/routes/api.php                                                                               | PHP        |         14 |         11 |          5 |         30 |
| /home/zougmore/annuaire5/routes/auth.php                                                                              | PHP        |         40 |          4 |         16 |         60 |
| /home/zougmore/annuaire5/routes/console.php                                                                           | PHP        |          6 |          0 |          3 |          9 |
| /home/zougmore/annuaire5/routes/web.php                                                                               | PHP        |        242 |         60 |         55 |        357 |
| /home/zougmore/annuaire5/tailwind.config.js                                                                           | JavaScript |         17 |          1 |          4 |         22 |
| /home/zougmore/annuaire5/test-route.php                                                                               | PHP        |         13 |          1 |          4 |         18 |
| /home/zougmore/annuaire5/tests/Feature/Auth/AuthenticationTest.php                                                    | PHP        |         29 |          0 |         13 |         42 |
| /home/zougmore/annuaire5/tests/Feature/Auth/EmailVerificationTest.php                                                 | PHP        |         33 |          0 |         14 |         47 |
| /home/zougmore/annuaire5/tests/Feature/Auth/PasswordConfirmationTest.php                                              | PHP        |         22 |          0 |         11 |         33 |
| /home/zougmore/annuaire5/tests/Feature/Auth/PasswordResetTest.php                                                     | PHP        |         41 |          0 |         20 |         61 |
| /home/zougmore/annuaire5/tests/Feature/Auth/PasswordUpdateTest.php                                                    | PHP        |         32 |          0 |          9 |         41 |
| /home/zougmore/annuaire5/tests/Feature/Auth/RegistrationTest.php                                                      | PHP        |         15 |          0 |          5 |         20 |
| /home/zougmore/annuaire5/tests/Feature/ExampleTest.php                                                                | PHP        |          5 |          0 |          3 |          8 |
| /home/zougmore/annuaire5/tests/Feature/ProfileTest.php                                                                | PHP        |         64 |          0 |         22 |         86 |
| /home/zougmore/annuaire5/tests/Pest.php                                                                               | PHP        |         10 |         31 |          7 |         48 |
| /home/zougmore/annuaire5/tests/TestCase.php                                                                           | PHP        |          6 |          1 |          4 |         11 |
| /home/zougmore/annuaire5/tests/Unit/ExampleTest.php                                                                   | PHP        |          4 |          0 |          2 |          6 |
| /home/zougmore/annuaire5/vite.config.js                                                                               | JavaScript |         13 |          0 |          2 |         15 |
| Total                                                                                                                 |            |     34,623 |      3,016 |      3,406 |     41,045 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
